Instance,N,K,Min Ratio,Average Ratio,Max Ratio,Min Time,Average Time,Max Time,Standard Deviation (Ratio),Standard Deviation (Time)
pmed1,100,5,1.266,1.266,1.266,0.019,0.019,0.019,0.000,0.000
pmed2,100,10,1.645,1.645,1.645,0.033,0.033,0.033,0.000,0.000
pmed3,100,10,1.604,1.604,1.604,0.028,0.028,0.028,0.000,0.000
pmed4,100,20,1.455,1.455,1.455,0.127,0.127,0.127,0.000,0.000
pmed5,100,33,1.871,1.871,1.871,0.105,0.105,0.105,0.000,0.000
pmed6,200,5,1.222,1.222,1.222,0.018,0.018,0.018,0.000,0.000
pmed7,200,10,1.207,1.207,1.207,0.052,0.052,0.052,0.000,0.000
pmed8,200,20,1.429,1.429,1.429,0.204,0.204,0.204,0.000,0.000
pmed9,200,40,1.420,1.420,1.420,0.567,0.567,0.567,0.000,0.000
pmed10,200,67,1.689,1.689,1.689,0.682,0.682,0.682,0.000,0.000
pmed11,300,5,1.131,1.131,1.131,0.030,0.030,0.030,0.000,0.000
pmed12,300,10,1.275,1.275,1.275,0.054,0.054,0.054,0.000,0.000
pmed13,300,30,1.459,1.459,1.459,0.450,0.450,0.450,0.000,0.000
pmed14,300,60,1.495,1.495,1.495,0.294,0.294,0.294,0.000,0.000
pmed15,300,100,1.652,1.652,1.652,1.383,1.383,1.383,0.000,0.000
pmed16,400,5,1.228,1.228,1.228,0.025,0.025,0.025,0.000,0.000
pmed17,400,10,1.284,1.284,1.284,0.075,0.075,0.075,0.000,0.000
pmed18,400,40,1.496,1.496,1.496,0.500,0.500,0.500,0.000,0.000
pmed19,400,80,1.527,1.527,1.527,0.462,0.462,0.462,0.000,0.000
pmed20,400,133,1.723,1.723,1.723,3.382,3.382,3.382,0.000,0.000
pmed21,500,5,1.189,1.189,1.189,0.020,0.020,0.020,0.000,0.000
pmed22,500,10,1.258,1.258,1.258,0.060,0.060,0.060,0.000,0.000
pmed23,500,50,1.384,1.384,1.384,0.238,0.238,0.238,0.000,0.000
pmed24,500,100,1.492,1.492,1.492,0.769,0.769,0.769,0.000,0.000
pmed25,500,167,1.781,1.781,1.781,2.618,2.618,2.618,0.000,0.000
pmed26,600,5,1.095,1.095,1.095,0.039,0.039,0.039,0.000,0.000
pmed27,600,10,1.230,1.230,1.230,0.062,0.062,0.062,0.000,0.000
pmed28,600,60,1.398,1.398,1.398,0.806,0.806,0.806,0.000,0.000
pmed29,600,120,1.424,1.424,1.424,0.709,0.709,0.709,0.000,0.000
pmed30,600,200,1.784,1.784,1.784,4.154,4.154,4.154,0.000,0.000
pmed31,700,5,1.163,1.163,1.163,0.041,0.041,0.041,0.000,0.000
pmed32,700,10,1.177,1.177,1.177,0.061,0.061,0.061,0.000,0.000
pmed33,700,70,1.423,1.423,1.423,1.665,1.665,1.665,0.000,0.000
pmed34,700,140,1.555,1.555,1.555,1.371,1.371,1.371,0.000,0.000
pmed35,800,5,1.055,1.055,1.055,0.048,0.048,0.048,0.000,0.000
pmed36,800,10,1.153,1.153,1.153,0.145,0.145,0.145,0.000,0.000
pmed37,800,80,1.510,1.510,1.510,2.541,2.541,2.541,0.000,0.000
pmed38,900,5,1.163,1.163,1.163,0.026,0.026,0.026,0.000,0.000
pmed39,900,10,1.158,1.158,1.158,0.093,0.093,0.093,0.000,0.000
pmed40,900,90,1.414,1.414,1.414,4.571,4.571,4.571,0.000,0.000
